Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.03      1.36     0.03  3106017     0.00     0.00  std::pair<int const, double> const& std::forward<std::pair<int const, double> const&>(std::remove_reference<std::pair<int const, double> const&>::type&)
  1.03      1.39     0.03  1964617     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator++()
  0.82      1.41     0.02  5022619     0.00     0.00  std::vector<std::unordered_map<int, double, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, double> > >, std::allocator<std::unordered_map<int, double, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, double> > > > >::operator[](unsigned long) const
  0.82      1.43     0.02  4074899     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.82      1.45     0.02  3411746     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, double> >::destroy<std::pair<int, double> >(std::pair<int, double>*)
  0.82      1.47     0.02  3338763     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.82      1.49     0.02  3334066     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.82      1.51     0.02  3106013     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, double> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, double> const&>(std::pair<int const, double> const&) const
  0.82      1.53     0.02  2779877     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.82      1.55     0.02  2547119     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.82      1.57     0.02  2511318     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<int const, double>, false, false>::operator->() const
  0.82      1.59     0.02  2443068     0.00     0.00  std::remove_reference<GraphEdge&>::type&& std::move<GraphEdge&>(GraphEdge&)
  0.82      1.61     0.02  1972187     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, double> >::construct<std::pair<int, double>, int&, double>(std::pair<int, double>*, int&, double&&)
  0.82      1.63     0.02  1972185     0.00     0.00  std::pair<int, double>::pair<int&, double, true>(int&, double&&)
  0.82      1.65     0.02  1972176     0.00     0.00  void std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::emplace_back<int&, double>(int&, double&&)
